"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000064341",25239.7540460805,-0.420900227615206,0.113573631454754,-3.70596785736208,0.000210585006823942,0.000598503011365337
"ENSMUSG00000064345",14555.6808761267,-0.642537769079701,0.123373180972242,-5.20808302109244,1.90801557700066e-07,8.47991265671909e-07
"ENSMUSG00000064351",151855.504014159,-0.383419105956153,0.0997049097527013,-3.84553886972216,0.000120287793490597,0.00035575942593148
"ENSMUSG00000064354",45311.5751524174,-0.35786958700708,0.102763101260531,-3.48247165195791,0.000496807818243011,0.00132479638740636
"ENSMUSG00000064356",11419.2065458255,-0.428615141852892,0.125196781842865,-3.42353162392663,0.00061813059127241,0.00162102143582813
"ENSMUSG00000064357",36494.3140183273,-0.41921259742627,0.116586993258978,-3.59570639663948,0.000323512511942883,0.000890572030818064
"ENSMUSG00000064358",58427.006808816,-0.534659545804829,0.109752963252936,-4.8714816434856,1.10764455509908e-06,4.46545492478868e-06
"ENSMUSG00000064360",4274.29229894927,-0.777523885242725,0.136385956543679,-5.70090869285149,1.19170457966943e-08,6.19816847501362e-08
"ENSMUSG00000064363",15619.2397776898,-0.685506677423466,0.12340306904518,-5.55502130317757,2.77577905801017e-08,1.38161398771044e-07
"ENSMUSG00000064367",10602.2175442853,-0.499137511692227,0.112621954285796,-4.43197345364464,9.33745160505256e-06,3.31763459606404e-05
"ENSMUSG00000064370",30674.4595753672,-0.651640282139644,0.119882932102826,-5.43563850757938,5.46005518055109e-08,2.61044428428201e-07
"ENSMUSG00000073755",180.699983257088,-0.207752446175022,0.0522885492149638,-3.97319201420046,7.09158358236664e-05,0.000218546190529985
"ENSMUSG00000028837",694.777439135022,0.597279294905886,0.0711984329267505,8.38893877791344,4.90550062657185e-17,6.19727101550046e-16
"ENSMUSG00000002814",233.707963942997,0.162061913228489,0.0674364137281279,2.40318107486923,0.0162531372289619,0.0322118658902677
"ENSMUSG00000049323",1422.17575190109,0.211397103269769,0.0312613401280194,6.7622533904199,1.35861812946108e-11,9.97443395329847e-11
"ENSMUSG00000042408",718.013831860734,-0.417571670085153,0.0624493932833135,-6.68656087963513,2.28476124716814e-11,1.63742734399072e-10
"ENSMUSG00000043284",165.387652545741,0.222682155138721,0.0797078180034198,2.79373041085088,0.00521038956903666,0.0114991641674595
"ENSMUSG00000018931",292.477830096308,-0.278855985415903,0.0580264945942768,-4.80566657292799,1.54236760890844e-06,6.10086819536023e-06
"ENSMUSG00000070737",87.1908047900587,-0.338792135961446,0.101355353221402,-3.34261709118988,0.000829923330678313,0.00212821106374085
"ENSMUSG00000042367",38.4388095206249,0.711190773595953,0.219793585321796,3.23572124525249,0.00121335813237314,0.00301843108222851
"ENSMUSG00000042529",14.066424849242,-0.424512344994038,0.161145596319021,-2.6343403399844,0.00843009405133273,0.0177189996400873
"ENSMUSG00000046623",37.4595149711463,2.1641374413183,0.362535172228967,5.96945512351969,2.38047223601062e-09,1.35097973205595e-08
"ENSMUSG00000042357",19.0928673341214,0.905216376362711,0.203020013411287,4.45875439151353,8.24373167562095e-06,2.95403112227044e-05
"ENSMUSG00000010142",174.874024959176,0.670007691616378,0.119548352871719,5.60449119976859,2.08867601880736e-08,1.0561410720971e-07
"ENSMUSG00000019102",178.544124653999,-0.635645146834152,0.175717984459685,-3.61741655977158,0.000297558210154298,0.000826052340137711
"ENSMUSG00000061894",184.084722955073,-0.176993344638139,0.051393892121371,-3.4438595197296,0.000573473586423293,0.00151159565713239
"ENSMUSG00000028902",649.936765407667,0.387131338717557,0.0408742354650275,9.47128024079597,2.76434580279852e-21,5.08712892741302e-20
"ENSMUSG00000010025",2093.28674085177,-0.455719759821655,0.0607565424940599,-7.50075203614837,6.34527247092582e-14,5.9911717530138e-13
